epoch;name;Mw;m;σ;λ_a;λ_r;ϵ
1;ethane;30.047;1.803028564453125;3.5762724609375;6.0;26.27339660644531;343.81547851562505;train
1;2,2-dimethylpropane;72.094;2.3367816162109376;3.9567377319335937;6.0;29.4698486328125;461.1449462890625;train
1;2,2-dimethylbutane;86.11;2.6876189575195313;3.9484982299804687;6.0;26.65912780761719;478.97734375;train
1;2,3-dimethylpentane;100.125;3.1180205078125;3.7605509643554687;6.0;17.82792266845703;462.22644042968744;train
1;2,4-dimethylpentane;100.125;3.1376868896484376;3.929004638671875;6.0;23.915027465820312;490.1428466796875;train
1;3-methylheptane;114.141;3.6252778320312498;3.9523338623046875;6.0;24.91794952392578;496.3360595703125;train
1;2-methyl-3-ethyl-pentane;114.141;3.3367646484374998;3.919384948730469;6.0;21.004383010864256;501.346728515625;train
1;2,4-dimethylhexane;114.141;3.45362158203125;3.8432604370117187;6.0;19.986846820116043;481.85009765625006;train
1;2,2,3,4-tetramethylpentane;128.157;3.2681248779296874;4.073502563476563;6.0;24.755521240234373;533.2170654296875;train
1;2,2,5-trimethylhexane;128.157;3.7939949951171874;3.8273129272460937;6.0;21.451337280273435;471.10441894531243;train
1;2,6-dimethyloctane;142.172;4.2627192382812495;3.9910809936523437;6.0;26.586273803710938;504.43356933593753;train
1;2,3-dimethylnonane;156.188;4.0708056640625;4.03329248046875;6.0;23.80058013916016;529.5526611328124;train
1;3-methyldodecane;184.219;5.018726318359375;4.005837280273438;6.0;26.198298950195312;515.0408447265625;train
1;2,3-dimethyldodecane;198.235;5.249815673828126;3.9003504028320313;6.0;20.485939674377445;512.2326416015625;train
1;2,2,4,4,6,8,8-heptamethylnonane;226.266;5.513162353515625;3.950911865234375;6.0;17.43253692626953;542.087890625;train
1;tetracosane;338.391;9.99201513671875;4.050241943359375;6.0;27.94197998046875;523.616357421875;train
1;propane;44.063;1.9866928014755247;3.7531445312500002;6.0;27.377462768554686;397.3775634765625;train
1;pentane;72.094;2.7458612670898437;3.8623743896484375;6.0;27.22602355957031;449.5317626953125;train
1;2,3-dimethylbutane;86.11;2.7442180786132813;3.9033507690429685;6.0;23.612700805664062;479.32062988281245;train
1;3-methylhexane;100.125;3.21444873046875;3.9962357788085936;6.0;26.282886962890622;502.177197265625;train
1;2,5-dimethylhexane;114.141;3.584617309570312;3.911828063964844;6.0;23.64145477294922;488.47949218750006;train
1;2,2,3-trimethylpentane;114.141;3.07607177734375;4.086802734375;6.0;26.510070190429687;528.0717529296875;train
1;2,3,3-trimethylpentane;114.141;3.082503173828125;3.9727047729492186;6.0;22.260199279785155;510.8162841796875;train
1;4-methylheptane;114.141;3.6277030029296875;4.06266259765625;6.0;28.47971862792969;516.2721435546874;train
1;3,3-diethylpentane;128.157;3.2634071044921873;4.160536499023437;6.0;28.57806396484375;544.2431640625;train
1;2,3-dimethylheptane;128.157;3.852595703125;3.99740869140625;6.0;23.26767303466797;519.4365966796875;train
1;2,7-dimethyloctane;142.172;4.271921630859374;4.0442003173828125;6.0;28.065866088867185;515.2253906249999;train
1;3-methylundecane;170.203;4.60706640625;4.1549611816406244;6.0;30.99880493164062;539.627294921875;train
1;tridecane;184.219;5.7439443359375;3.9118309936523437;6.0;27.355073242187498;488.30380859375;train
1;tetradecane;198.235;6.1873212890625;3.8526512451171877;6.0;26.548023071289066;478.8281005859375;train
1;heptadecane;240.282;7.69414404296875;3.9213357543945313;6.0;29.53566284179687;489.4604248046875;train
1;heptacosane;380.438;9.9691708984375;3.9833028564453126;6.0;23.242276000976567;509.477490234375;train
1;n-butane;58.078;2.304194030761719;3.841705810546875;6.0;28.328333740234374;430.263720703125;train
1;3-methylpentane;86.11;2.8952037353515623;3.9371976928710937;6.0;25.29127624511719;484.5388916015625;train
1;3-ethylpentane;100.125;3.2007283935546873;3.831842041015625;6.0;21.601492767333987;469.6058349609375;train
1;3,3-dimethylpentane;100.125;2.853853454589844;4.1190419921874994;6.0;29.98673767089844;520.081396484375;train
1;2-methylheptane;114.141;3.630773193359375;3.759493713378906;6.0;19.45475788116455;457.928955078125;train
1;octane;114.141;3.8921042480468753;3.9256504516601565;6.0;27.267935180664065;478.4865966796875;train
1;3-ethylhexane;114.141;3.5619007568359375;3.9206527709960937;6.0;22.93748809814453;494.59572753906247;train
1;2,3-dimethylhexane;114.141;3.4808408203125003;3.978234130859375;6.0;22.929193115234376;512.7525878906249;train
1;2-methyloctane;128.157;4.113718017578125;3.9378062133789062;6.0;25.015231018066405;493.5788818359375;train
1;2,2,3,3-tetramethylpentane;128.157;3.217165283203125;4.1378310546875;6.0;28.022266845703125;538.36220703125;train
1;3-methyldecane;156.188;4.23555615234375;4.1419501953125;6.0;30.443084716796875;536.07734375;train
1;2,3-dimethyldecane;170.203;4.569205078125;4.048608642578125;6.0;24.278843383789063;534.8571533203125;train
1;2-methyldodecane;184.219;5.39851708984375;3.9440341186523438;6.0;24.899758300781247;507.09248046875007;train
1;2-methyltridecane;198.235;5.767077880859375;3.871734313964844;6.0;23.42645294189453;495.05583496093755;train
1;octadecane;254.297;8.12549365234375;3.9374390258789065;6.0;29.675374755859373;493.21054687500003;train
1;octacosane;394.454;10.10738232421875;4.0044161987304685;6.0;23.810438842773436;513.9803955078125;train
1;2-methylpropane;58.078;2.1958152923583985;3.8422586669921874;6.0;26.8848779296875;433.76503906249997;train
1;hexane;86.11;3.0834520263671874;3.883430236816406;6.0;26.910575561523437;461.3994384765625;train
1;2-methylhexane;100.125;3.291846435546875;3.703156311035156;6.0;18.311598815917968;442.89604492187505;train
